RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_11,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_12,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_13,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_14,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_15,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_16,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_17,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_18,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_19,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_20,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_21,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_22,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_23,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_24,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_25,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_26,1,0.85,1,0.01,0.05,0,0.1,0
