Typology,Area
Retail,700.69
Retail,623.29
Retail,2626.7
Retail,1285.7
Retail,2059.7
Retail,3490.7
Retail,2373.2
Retail,1059.7
Retail,1555.7
Retail,1013
Retail,1686.9
Retail,2576.7
Retail,518.02
Retail,1465.7
Retail,318.19
Retail,2626.7
Retail,700.68
Retail,1060.7
Retail,700.69
Retail,1924.7
Retail,831.19
Retail,1111.7
Retail,1465.7
Retail,790.69
Retail,1218.2
Retail,1911.2
Retail,790.69
Retail,1150.7
