,RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits,Envelope Material
58,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_19,1,0.85,1,0.01,0.05,0,0.1,0,undefined
59,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_20,1,0.85,1,0.01,0.05,0,0.1,0,undefined
60,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_21,1,0.85,1,0.01,0.05,0,0.1,0,undefined
61,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_22,1,0.85,1,0.01,0.05,0,0.1,0,undefined
62,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_23,1,0.85,1,0.01,0.05,0,0.1,0,undefined
63,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_24,1,0.85,1,0.01,0.05,0,0.1,0,undefined
64,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_25,1,0.85,1,0.01,0.05,0,0.1,0,undefined
65,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_26,1,0.85,1,0.01,0.05,0,0.1,0,undefined
66,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_27,1,0.85,1,0.01,0.05,0,0.1,0,undefined
67,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_28,1,0.85,1,0.01,0.05,0,0.1,0,undefined
68,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_29,1,0.85,1,0.01,0.05,0,0.1,0,undefined
69,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_30,1,0.85,1,0.01,0.05,0,0.1,0,undefined
70,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_31,1,0.85,1,0.01,0.05,0,0.1,0,undefined
71,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_32,1,0.85,1,0.01,0.05,0,0.1,0,undefined
72,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_33,1,0.85,1,0.01,0.05,0,0.1,0,undefined
73,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_34,1,0.85,1,0.01,0.05,0,0.1,0,undefined
74,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_35,1,0.85,1,0.01,0.05,0,0.1,0,undefined
75,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_36,1,0.85,1,0.01,0.05,0,0.1,0,undefined
76,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.7,TT FFL_37,1,0.85,1,0.01,0.05,0,0.1,0,undefined
