Project Name,Project Number,Project Type
Vivaldi Park - Amsterdam,5170,Masterplanning
Vr Techno - Artwork,2083,R & D
Vr Techno - Entrance Gate,2084,R & D
Vr Techno - Furniture,2082,R & D
Vr Techno Centre - Masterplan,2080,Masterplanning
W38 Street Eleventh Ave,12805,Office
Wandsworth Capital Studios,4480,Office
Ward Village Hawaii,10600,Residential
Warwick University SSGC,13305,Education
Washington Convention Centre,4250,Civic
Water Canal Peninsula,13230,Mixed Use
Water City - Olympics,3550,Masterplanning
Waterloo District Renewal,13360,Masterplanning
Waterloo District Renewal,13360,Masterplanning
Waterman Partnership,1967,
Waterworks - River Projects,2249,Masterplanning
Wates Housing,0035,Residential
Wates Wales Modular,50035,Modular Housing
Watts Grove,6500,Residential
Wellcome Beckenham,0369,Masterplanning
Wellcome Foundation,0322,R & D
Wembley - Arena Square,3861,Masterplanning
Wembley - Car and Coach Park,3863,Masterplanning
Wembley - Development Strategy Phase 1,3866,Masterplanning
Wembley - Infrastructure Development,3862,Masterplanning
Wembley - Planning Nursing,3864,Masterplanning
Wembley - Planning Preparation,3869,Masterplanning
Wembley - W03 Olympic Steps,3867,Masterplanning
Wembley - West Masterplan re-design,3868,Masterplanning
Wembley Masterplan,3860,Masterplanning
Wembley World,3090,Cultural & Leisure
West Kowloon Cultural District,5700,Masterplanning
West Sussex Developments,13200,Other
Western Sydney Airport,11930,
Western Sydney Airport,11930,Transport
Westfield Les 4 Temps,12435,Mixed Use
Westway,12880,
WeWork,8000,
White City Community Centre,4785,Health & Science
Whittington Avenue,0306,Office
William Sale Partnership,1986,
Williams Group City Fringe Developments,10020,Masterplanning
Wilton Road,13125,Mixed Use
Wimbledon Houses,4770,Residential
Winerthur Road,13510,Mixed Use
Wolfson Economics Prize 2021,12840,Health & Science
Wood Wharf,4660,Masterplanning
Wood Wharf Revision,4665,Masterplanning
Woolston Riverside,4330,Masterplanning
Wordsworth Avenue,50012,Modular Housing
WTC Tower 3 - Additional Study,5278,Office
WTC Tower 3 - Lehman Brothers,5276,Office
WTC Tower 3 - Merrill Lynch,5275,Office
WTC Tower 3 - Project X,5277,Office
WTC Tower 3 - UBS Study,5279,Office
Wuhan Sanyang Road,12950,Residential
Wycombe Bellfield Road,50010,Modular Housing
Xian CCBD,12560,Mixed Use
Y Cube,10260,Residential
Y-Cube Feasibility Studies,11110,Residential
Ykk Exhibition,7101,Exhibition
YMCA,5900,Residential
YMCA (RD),10980,Residential
YMCA Romford,11950,Residential
Yoido - Expenses Ahyeon And Ji,4021,Mixed Use
Yokohama Port Terminal,2270,Transport
Yonezawa,2710,
Yorke Mason House,0036,Residential
Yunity City,13040,Mixed Use
Z O O Fenster Building - Berlin,1500,Office
Zara Via Corso,5930,Retail
Zaragoza Expo Bridge,5090,Transport
Zhaode Beijing,6830,Residential
Zhengzhou Airport Economy Zone,13260,Transport
Zhengzhou Convention Centre P2,13575,Mixed Use
Zhuhai Border Crossing Development - NAB,11910,Mixed Use
Zhuhai Border Crossing Development GAZ,11911,Mixed Use
Zhuhai Hongwan Development,11960,Retail
Zhuhai Masterplan,10790,Masterplanning
ZipUp House,0037,Residential
Zoofenster,1505,Office
Zurich Airport,2570,Transport
Zurich Airport,12470,Transport
