ID,Typology,Area,Plot,Building,Colour
cefab4af-222d-4e6e-a30f-fede2a0e3465,Commercial,1966.398805,YH090703-06, ,#FF8DA2
2a0e4882-ae3b-48f1-b180-a48c562376b9,Commercial,1696.329992,YH090703-05, ,#FF8DA2
7c63eef5-64b3-47fc-82d1-e618ef3ee65a,Commercial,1966.398805,YH090703-06, ,#FF8DA2
afb1394c-92a2-4b1e-a1ca-3f079216c811,Commercial,1209.601578,YH090703-01,Tower 02,#FF8DA2
3b563a0e-789c-4cf1-bf53-42f999d8e2b5,Commercial,1154.619637,YH090703-06, ,#FF8DA2
c230bfbd-ff8f-4bc6-8cad-e4af5ef1e981,Commercial,1696.329992,YH090703-05, ,#FF8DA2
8251460f-45f6-4702-a47d-b89cb6651b67,Commercial,2226.287041,YH090703-06, ,#FF8DA2
e3f05d96-cc22-4ef1-bbcf-1189ebadf933,Commercial,3312.938841,YH090703-07,Podium,#FF8DA2
7168c115-a67e-4cbc-a886-04445592ed27,Commercial,2226.287041,YH090703-06, ,#FF8DA2
eb5e0546-b24b-446b-8424-df25f7215b53,Commercial,3312.938841,YH090703-07,Podium,#FF8DA2
42d8256e-401c-4ddc-974f-dc86dc63d13f,Commercial,2226.287041,YH090703-06, ,#FF8DA2
f515aaf3-fa97-47d2-ab21-fd5841e19ce9,Commercial,2102.94,YH090703-06, ,#FF8DA2
a471ebdd-e29c-40a3-96ba-27cd813b6eb3,Commercial,3312.938841,YH090703-07,Podium,#FF8DA2
714080cf-2f0e-40f0-973c-6445b49267b8,Commercial,3173.274456,YH090703-06, ,#FF8DA2
ebf01472-1a93-488c-9ff1-d8474b1a190b,Commercial,3173.274456,YH090703-06, ,#FF8DA2
26050861-1801-4781-9b2f-9c7a5374993c,Hotel,1878.383031,YH090703-03, ,#FFEDFF
bcad3764-c7bf-4883-ad6d-0cec3a235b9e,Hotel,1878.383031,YH090703-03, ,#FFEDFF
05ff8c87-876d-4ed3-b265-b80577118324,Hotel,1878.383031,YH090703-03, ,#FFEDFF
df846b33-ae51-4997-8916-fd144bf91b28,Hotel,1878.383031,YH090703-03, ,#FFEDFF
92070d8d-d726-4eaf-9fc4-2802e40f73cc,Hotel,1878.383031,YH090703-03, ,#FFEDFF
a101173d-91ac-4fb9-8fae-f6361de59381,Hotel,1878.383031,YH090703-03, ,#FFEDFF
